Hostname,Count of Control
dc-r1.tlt.co.th,11
dc-a1.tlt.co.th,4
dc-a2.tlt.co.th,4
dc-t1.tlt.co.th,4
dc-t2.tlt.co.th,4
dc-n1.tlt.co.th,4
dc-f1.tlt.co.th,4
dc-p1.tlt.co.th,4
dc-j1.tlt.co.th,4
dc-l1.tlt.co.th,4
dc-k1.tlt.co.th,4
dc-h1.tlt.co.th,4
dc-b1.tlt.co.th,4
dc-b2.tlt.co.th,4
dc-c1.tlt.co.th,4
dc-u1.tlt.co.th,4
Grand Total,71
